strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_4,dst_pcr6_fire_specificity_silence_sensitivity,0.4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.541550688868935,0.695282273622985,0.7967569972126366
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_5,dst_pcr6_fire_specificity_silence_sensitivity,0.5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.541550688868935,0.695282273622985,0.4416566304155657
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_6,dst_pcr6_fire_specificity_silence_sensitivity,0.6,520.6,283.8,341.4,601.8,1747.6,1122.4,625.2,0.6473245479234528,0.46382707361428965,0.5459833589396181,0.36188080332698447,0.45401664106038186,0.5361729263857103,0.49329623214405105,0.5049052162769538,0.5404119279192872,0.4916978466907601,0.009503206934100786,0.541550688868935,0.695282273622985,0.7487783567508777
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,dst_pcr6_fire_specificity_silence_sensitivity,0.7,505.8,273.8,351.4,616.6,1747.6,1122.4,625.2,0.6489321240318072,0.45061623936573564,0.5619833044873819,0.36292498524856354,0.43801669551261807,0.5493837606342644,0.4905442916857602,0.5062997719265587,0.5318673972325068,0.4799405805358809,0.012222719218510581,0.541550688868935,0.695282273622985,0.7461187099091326
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_8,dst_pcr6_fire_specificity_silence_sensitivity,0.8,461.0,245.4,379.8,661.4,1747.6,1122.4,625.2,0.6528059231681287,0.4107541127572718,0.6074168158102855,0.36473896693084723,0.39258318418971444,0.5892458872427282,0.4811858707660962,0.5090854642837787,0.5042246876241546,0.44364934104155357,0.017855147412359003,0.541550688868935,0.695282273622985,0.7276237102254913
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,dst_pcr6_fire_specificity_silence_sensitivity,0.9,453.6,240.8,384.4,668.8,1747.6,1122.4,625.2,0.6534360359617419,0.40417195895067487,0.6147682584608274,0.36495882644389416,0.38523174153917267,0.5958280410493251,0.479589112675092,0.5094701087057512,0.499421779253811,0.4375509590779233,0.018665527289677405,0.541550688868935,0.695282273622985,0.6937275852116725
dst_yager_fire_specificity_silence_sensitivity_tau_0_1,dst_yager_fire_specificity_silence_sensitivity,0.1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5303715946753702,0.6814923292599366,0.9080637781030514
dst_yager_fire_specificity_silence_sensitivity_tau_0_2,dst_yager_fire_specificity_silence_sensitivity,0.2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5303715946753702,0.6814923292599366,0.8444391993476696
dst_yager_fire_specificity_silence_sensitivity_tau_0_3,dst_yager_fire_specificity_silence_sensitivity,0.3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5303715946753702,0.6814923292599366,0.8211238709925128
dst_yager_fire_specificity_silence_sensitivity_tau_0_4,dst_yager_fire_specificity_silence_sensitivity,0.4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5303715946753702,0.6814923292599366,0.7967569972126366
