family,fold,delta,family_support,language,n_tools,log_gt_kept,log_n_samples,kept_frac,union_recall,log_family_support
CWE-706,4,0.06868542234808857,101,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.0043213737826426
CWE-74,0,-0.008899343986700649,336,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.526339277389844
CWE-74,1,-0.0006185483488040978,335,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.525044807036845
CWE-74,2,0.024922838782906978,336,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.526339277389844
CWE-74,3,0.002780587991751522,336,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.526339277389844
CWE-74,4,-0.01803956437746481,336,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.526339277389844
CWE-913,0,-0.08681872885818256,41,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6127838567197355
CWE-913,1,-0.11738957362775725,41,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6127838567197355
CWE-913,2,-0.0784073585534137,41,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6127838567197355
CWE-913,3,-0.12713982106673613,41,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6127838567197355
CWE-913,4,-0.12206511256326658,41,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6127838567197355
CWE-923,0,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-923,1,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-923,2,,70,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.845098040014257
CWE-923,3,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-923,4,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-118,0,0.15929967188838534,2117,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,3.325720858019412
CWE-118,1,0.15257104647246228,2117,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,3.325720858019412
CWE-118,2,0.14194539749346863,2117,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,3.325720858019412
CWE-118,3,0.13666492733991323,2117,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,3.325720858019412
CWE-118,4,0.14395128669626953,2117,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,3.325720858019412
CWE-190,0,0.0331348774535382,281,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,2.44870631990508
CWE-190,1,0.03934968036444778,281,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,2.44870631990508
CWE-190,2,0.04336889622478207,282,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,2.450249108319361
CWE-190,3,0.026109526196457084,281,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,2.44870631990508
CWE-190,4,0.02308823663270791,281,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,2.44870631990508
CWE-191,0,,33,c_cpp,6,4.377160490206987,4.763495378857957,0.9725759059745348,0.2044973654731776,1.5185139398778875
