strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_dempster_fire_specificity_silence_sensitivity_tau_0_8,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6901005086364768,0.31045971472645806,0.46326355652002904
dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6901005086364768,0.31045971472645806,0.46326355652002904
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900976975327751,0.30882216334113527,0.9574686754693301
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900976975327751,0.30882216334113527,0.9574686754693301
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900976975327751,0.30882216334113527,0.8013616691983738
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_4,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900976975327751,0.30882216334113527,0.6289416692989487
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_5,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900976975327751,0.30882216334113527,0.2620983137898474
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900976975327751,0.30882216334113527,0.46326355652002904
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900976975327751,0.30882216334113527,0.46326355652002904
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_8,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900976975327751,0.30882216334113527,0.46326355652002904
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,2120.2,2267.2,41011.6,2812.2,48211.2,4932.4,43278.8,0.48328391808700555,0.42985002427480967,0.947613950094987,0.9358293068045528,0.052386049905013096,0.5701499757251903,0.8946426767499422,0.6887319871848983,0.45499447020438827,0.4395649071884818,0.39774057915709343,0.6900976975327751,0.30882216334113527,0.45505824615079077
dst_yager_fire_specificity_silence_sensitivity_tau_0_1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900176918906566,0.30646630440224476,0.9574686754693301
dst_yager_fire_specificity_silence_sensitivity_tau_0_2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900176918906566,0.30646630440224476,0.9574686754693301
dst_yager_fire_specificity_silence_sensitivity_tau_0_3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900176918906566,0.30646630440224476,0.8013616691983738
dst_yager_fire_specificity_silence_sensitivity_tau_0_4,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900176918906566,0.30646630440224476,0.6289416692989487
dst_yager_fire_specificity_silence_sensitivity_tau_0_5,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6900176918906566,0.30646630440224476,0.2620983137898474
dst_yager_fire_specificity_silence_sensitivity_tau_0_6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900176918906566,0.30646630440224476,0.46326355652002904
dst_yager_fire_specificity_silence_sensitivity_tau_0_7,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900176918906566,0.30646630440224476,0.46326355652002904
dst_yager_fire_specificity_silence_sensitivity_tau_0_8,2124.4,2273.8,41005.0,2808.0,48211.2,4932.4,43278.8,0.483057775915264,0.43070067012891416,0.9474614284436426,0.9359093488908856,0.05253857155635737,0.5692993298710858,0.8945928907609444,0.6890810492862784,0.45536847791857227,0.44023778081824333,0.39803824432957624,0.6900176918906566,0.30646630440224476,0.46318329698261096
dst_yager_fire_specificity_silence_sensitivity_tau_0_9,2119.0,2266.4,41012.4,2813.4,48211.2,4932.4,43278.8,0.4832324393441342,0.4296068131439358,0.947632431181838,0.935804847495114,0.05236756881816194,0.5703931868560642,0.8946343781673001,0.688619622162887,0.45483506033146026,0.4393527271674988,0.3975860224667307,0.6900176918906566,0.30646630440224476,0.453997165917101
naive_bayes_tau_0_1,1700.6,1782.0,41496.8,3231.8,48211.2,4932.4,43278.8,0.4883750943048836,0.34478069522667554,0.9588250046688156,0.927746337158186,0.041174995331184384,0.6552193047733245,0.8960033508062979,0.6518028499477456,0.40419158091242346,0.3663165016948392,0.3554342870644006,0.6653022466923941,0.27358651492100244,0.5099272225234054
naive_bayes_tau_0_2,1687.2,1770.0,41508.8,3245.2,48211.2,4932.4,43278.8,0.488088270314336,0.3420640741944466,0.9591022808637847,0.9274879399869824,0.04089771913621531,0.6579359258055534,0.8959743157481718,0.6505831775291157,0.4022207124205148,0.3638281671354176,0.3537712964743964,0.6653022466923941,0.27358651492100244,0.5085329720682206
naive_bayes_tau_0_3,169.6,142.8,43136.0,4762.8,48211.2,4932.4,43278.8,0.5435355196649233,0.034383450027573106,0.9967004688104204,0.9005653757555209,0.003299531189579601,0.9656165499724269,0.8982477109370699,0.5155419594189967,0.06466561768438803,0.04230839600741818,0.11745346508496965,0.6653022466923941,0.27358651492100244,0.6260573360178383
naive_bayes_tau_0_4,114.0,86.2,43192.6,4818.4,48211.2,4932.4,43278.8,0.5692819650149751,0.02311131613947641,0.998008274351849,0.8996396699440756,0.001991725648150883,0.9768886838605237,0.8982684510262697,0.5105597952456628,0.04441817241484487,0.02859868833643109,0.09950749895061275,0.6653022466923941,0.27358651492100244,0.5210558861396161
naive_bayes_tau_0_5,114.0,86.2,43192.6,4818.4,48211.2,4932.4,43278.8,0.5692819650149751,0.02311131613947641,0.998008274351849,0.8996396699440756,0.001991725648150883,0.9768886838605237,0.8982684510262697,0.5105597952456628,0.04441817241484487,0.02859868833643109,0.09950749895061275,0.6653022466923941,0.27358651492100244,0.5210558861396161
naive_bayes_tau_0_6,112.2,85.8,43193.0,4820.2,48211.2,4932.4,43278.8,0.5665919725640581,0.02274635968448194,0.998017519486597,0.8996067765238157,0.001982480513403044,0.9772536403155181,0.8982394120961589,0.5103819395855395,0.043736115853435883,0.028150290952562336,0.09838190453443368,0.6653022466923941,0.27358651492100244,0.5133953026177493
naive_bayes_tau_0_7,56.8,30.2,43248.6,4875.6,48211.2,4932.4,43278.8,0.6545037614805056,0.011513392346165467,0.9993021885019621,0.898687146712905,0.0006978114980379022,0.9884866076538346,0.8982435664638156,0.5054077904240637,0.022618768192138768,0.014327107770106855,0.07710503042006416,0.6653022466923941,0.27358651492100244,0.4927794456505203
naive_bayes_tau_0_8,19.6,13.4,43265.4,4912.8,48211.2,4932.4,43278.8,0.5848675117020365,0.003973276003049692,0.999690373310254,0.8980285693722333,0.00030962668974592294,0.9960267239969504,0.8978204232446044,0.5018318246566519,0.007891510632414429,0.004957948749541607,0.04191922993627441,0.6653022466923941,0.27358651492100244,0.7042174401521043
naive_bayes_tau_0_9,19.6,13.4,43265.4,4912.8,48211.2,4932.4,43278.8,0.5848675117020365,0.003973276003049692,0.999690373310254,0.8980285693722333,0.00030962668974592294,0.9960267239969504,0.8978204232446044,0.5018318246566519,0.007891510632414429,0.004957948749541607,0.04191922993627441,0.6653022466923941,0.27358651492100244,0.7042174401521043
bks_tau_0_1,1699.4,1779.2,41499.6,3233.0,48211.2,4932.4,43278.8,0.4885929916370384,0.3445368838754475,0.9588897001104619,0.9277259740830754,0.04111029988953794,0.6554631161245525,0.896036539716093,0.6517132919929548,0.4040980881305867,0.36612056924460873,0.3554135760025469,0.665573490681476,0.2766533452830929,0.5111045205795107
bks_tau_0_2,1682.6,1758.8,41520.0,3249.8,48211.2,4932.4,43278.8,0.4890294090111415,0.34113258105968514,0.9593610827964503,0.9274108696777214,0.04063891720354971,0.6588674189403149,0.8961112156880932,0.6502468319280676,0.40188312411003313,0.3630835162170736,0.35373885977670116,0.665573490681476,0.2766533452830929,0.5079885094217375
bks_tau_0_3,118.2,78.6,43200.2,4814.2,48211.2,4932.4,43278.8,0.6032507663713667,0.023960741523971298,0.9981838481049274,0.8997342835199262,0.001816151895072477,0.9760392584760288,0.8985132124061334,0.5110722948144495,0.046063851192954676,0.029651850390062056,0.10532996387884697,0.665573490681476,0.2766533452830929,0.6895103351536325
