strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
bks_tau_0_8,62.6,0.0,625.2,1059.8,1747.6,1122.4,625.2,1.0,0.055771305310969854,1.0,0.3710412762836996,0.0,0.9442286946890303,0.3935702128117761,0.5278856526554849,0.10564512209357144,0.06875456300522173,0.14383473653667558,0.5851968239925172,0.693868588322273,0.9906203473945411
bks_tau_0_9,62.6,0.0,625.2,1059.8,1747.6,1122.4,625.2,1.0,0.055771305310969854,1.0,0.3710412762836996,0.0,0.9442286946890303,0.3935702128117761,0.5278856526554849,0.10564512209357144,0.06875456300522173,0.14383473653667558,0.5851968239925172,0.693868588322273,0.9906203473945411
logistic_regression_tau_0_1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6160623725143667,0.71300776968773,0.9342402552269198
logistic_regression_tau_0_2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6160623725143667,0.71300776968773,0.9226496733996757
logistic_regression_tau_0_3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6160623725143667,0.71300776968773,0.9162372999165361
logistic_regression_tau_0_4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6160623725143667,0.71300776968773,0.8159274085703684
logistic_regression_tau_0_5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6160623725143667,0.71300776968773,0.6353896653574267
logistic_regression_tau_0_6,461.2,168.2,457.0,661.2,1747.6,1122.4,625.2,0.7327577295227504,0.4109054181692461,0.7309763627426886,0.40871636594987504,0.2690236372573114,0.5890945818307539,0.525408292364386,0.5709408904559673,0.526501039995187,0.45046157687681826,0.14167674521764473,0.6160623725143667,0.71300776968773,0.8089994705442176
logistic_regression_tau_0_7,461.0,168.2,457.0,661.4,1747.6,1122.4,625.2,0.7326754148336942,0.4107260459719367,0.7309763627426886,0.4086417613542319,0.2690236372573114,0.5892739540280634,0.5252933498356505,0.5708512043573126,0.526332298916131,0.4502827979508138,0.14150859351175338,0.6160623725143667,0.71300776968773,0.809348580546452
logistic_regression_tau_0_8,460.6,167.8,457.4,661.8,1747.6,1122.4,625.2,0.7329715613312338,0.4103693688100882,0.7316158515605801,0.4087059563775116,0.26838414843942,0.5896306311899118,0.5252933498356505,0.5709926101853341,0.5261185105932831,0.4499632850988816,0.14183026193472265,0.6160623725143667,0.71300776968773,0.8091819208855305
logistic_regression_tau_0_9,275.4,60.8,564.4,847.0,1747.6,1122.4,625.2,0.8192427580639112,0.2453511762254747,0.9027582485459164,0.39989140479873975,0.09724175145408373,0.7546488237745252,0.48054305694418165,0.5740547123856955,0.3775557864590492,0.2853104497189032,0.18014279885595103,0.6160623725143667,0.71300776968773,0.7279722827933278
logistic_interactions_tau_0_1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6158663638548101,0.7173301297216997,0.9342402552269198
logistic_interactions_tau_0_2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6158663638548101,0.7173301297216997,0.9226496733996757
logistic_interactions_tau_0_3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6158663638548101,0.7173301297216997,0.9137550304129901
logistic_interactions_tau_0_4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6158663638548101,0.7173301297216997,0.8082545926902158
logistic_interactions_tau_0_5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.6158663638548101,0.7173301297216997,0.6353896653574267
logistic_interactions_tau_0_6,462.6,168.6,456.6,659.8,1747.6,1122.4,625.2,0.7328560166668601,0.4121573547801655,0.7303363627426886,0.4090308454767113,0.26966363725731135,0.5878426452198344,0.5259812975818321,0.5712468587614271,0.5275481125346949,0.45167026916536834,0.1421888763197751,0.6158663638548101,0.7173301297216997,0.8074462131779538
logistic_interactions_tau_0_7,461.2,168.2,457.0,661.2,1747.6,1122.4,625.2,0.7327577295227504,0.4109054181692461,0.7309763627426886,0.40871636594987504,0.2690236372573114,0.5890945818307539,0.525408292364386,0.5709408904559673,0.526501039995187,0.45046157687681826,0.14167674521764473,0.6158663638548101,0.7173301297216997,0.8089994705442176
logistic_interactions_tau_0_8,418.2,129.6,495.6,704.2,1747.6,1122.4,625.2,0.763319796310054,0.3725967616304494,0.7927154648971901,0.4131118517032948,0.20728453510280986,0.6274032383695506,0.5228881001472208,0.5826561132638198,0.5007051098220009,0.4150718335422723,0.17077886773681242,0.6158663638548101,0.7173301297216997,0.800242623140144
logistic_interactions_tau_0_9,400.0,124.0,501.2,722.4,1747.6,1122.4,625.2,0.7632403756589851,0.3563811142349169,0.8016729155402638,0.4096507123206029,0.1983270844597362,0.6436188857650831,0.5156801951008175,0.5790270148875903,0.48584267615693594,0.39889489404087525,0.16530386790018076,0.6158663638548101,0.7173301297216997,0.8107594212821583
