cwe,family,level
CWE-1039,CWE-1039,pillar_child
CWE-1043,CWE-1093,pillar_child
CWE-1053,CWE-1059,pillar_child
CWE-1054,CWE-1061,pillar_child
CWE-1058,CWE-662,pillar_child
CWE-1059,CWE-1059,pillar_child
CWE-1082,CWE-1076,pillar_child
CWE-1083,CWE-1061,pillar_child
CWE-1093,CWE-1093,pillar_child
CWE-1101,CWE-1101,pillar_child
CWE-1102,CWE-758,pillar_child
CWE-1103,CWE-758,pillar_child
CWE-1106,CWE-1076,pillar_child
CWE-1107,CWE-1076,pillar_child
CWE-1108,CWE-1076,pillar_child
CWE-1112,CWE-1059,pillar_child
CWE-1125,CWE-1120,pillar_child
CWE-1126,CWE-1126,pillar_child
CWE-1173,CWE-20,pillar_child
CWE-1177,CWE-1177,pillar_child
CWE-1188,CWE-665,pillar_child
CWE-1189,CWE-657,pillar_child
CWE-1191,CWE-1191,pillar_child
CWE-1192,CWE-657,pillar_child
CWE-1193,CWE-696,pillar_child
CWE-1204,CWE-330,pillar_child
CWE-1220,CWE-1220,pillar_child
CWE-1221,CWE-665,pillar_child
CWE-1222,CWE-1220,pillar_child
CWE-1224,CWE-1224,pillar_child
CWE-1229,CWE-1229,pillar_child
CWE-1230,CWE-285,pillar_child
CWE-1231,CWE-1231,pillar_child
CWE-1232,CWE-662,pillar_child
CWE-1233,CWE-1233,pillar_child
CWE-1234,CWE-662,pillar_child
CWE-1239,CWE-404,pillar_child
CWE-1240,CWE-327,pillar_child
CWE-1241,CWE-330,pillar_child
CWE-1242,CWE-684,pillar_child
CWE-1243,CWE-1263,pillar_child
CWE-1244,CWE-285,pillar_child
CWE-1247,CWE-1384,pillar_child
CWE-1248,CWE-1248,pillar_child
CWE-1249,CWE-1250,pillar_child
CWE-1251,CWE-1250,pillar_child
CWE-1255,CWE-668,pillar_child
CWE-1256,CWE-285,pillar_child
CWE-1257,CWE-1257,pillar_child
CWE-1258,CWE-669,pillar_child
CWE-1259,CWE-1259,pillar_child
CWE-1260,CWE-1260,pillar_child
CWE-1262,CWE-1262,pillar_child
CWE-1263,CWE-1263,pillar_child
CWE-1264,CWE-662,pillar_child
CWE-1265,CWE-662,pillar_child
CWE-1266,CWE-404,pillar_child
CWE-1269,CWE-1269,pillar_child
CWE-1270,CWE-1270,pillar_child
CWE-1271,CWE-665,pillar_child
CWE-1272,CWE-404,pillar_child
CWE-1274,CWE-1274,pillar_child
CWE-1275,CWE-923,pillar_child
CWE-1276,CWE-1276,pillar_child
CWE-1277,CWE-1357,pillar_child
CWE-1278,CWE-1278,pillar_child
CWE-1279,CWE-696,pillar_child
CWE-1280,CWE-696,pillar_child
CWE-1282,CWE-668,pillar_child
CWE-1283,CWE-1283,pillar_child
CWE-1284,CWE-20,pillar_child
CWE-1285,CWE-20,pillar_child
CWE-1286,CWE-20,pillar_child
CWE-1287,CWE-20,pillar_child
CWE-1289,CWE-20,pillar_child
CWE-1290,CWE-1290,pillar_child
CWE-1292,CWE-1292,pillar_child
CWE-1293,CWE-345,pillar_child
CWE-1294,CWE-1294,pillar_child
CWE-1295,CWE-668,pillar_child
CWE-1296,CWE-1296,pillar_child
CWE-1297,CWE-285,pillar_child
CWE-1298,CWE-662,pillar_child
CWE-1299,CWE-923,pillar_child
CWE-1300,CWE-668,pillar_child
CWE-1301,CWE-404,pillar_child
CWE-1302,CWE-1294,pillar_child
CWE-1303,CWE-657,pillar_child
CWE-1304,CWE-1304,pillar_child
CWE-1312,CWE-1312,pillar_child
CWE-1313,CWE-1313,pillar_child
CWE-1316,CWE-1316,pillar_child
CWE-1319,CWE-1319,pillar_child
CWE-1320,CWE-1320,pillar_child
CWE-1321,CWE-913,pillar_child
CWE-1322,CWE-834,pillar_child
CWE-1323,CWE-1323,pillar_child
CWE-1325,CWE-400,pillar_child
CWE-1326,CWE-1326,pillar_child
CWE-1327,CWE-668,pillar_child
CWE-1328,CWE-285,pillar_child
CWE-1329,CWE-1357,pillar_child
CWE-1330,CWE-404,pillar_child
CWE-1331,CWE-657,pillar_child
CWE-1332,CWE-1384,pillar_child
CWE-1333,CWE-400,pillar_child
CWE-1334,CWE-1334,pillar_child
CWE-1336,CWE-74,pillar_child
CWE-1338,CWE-1338,pillar_child
CWE-1342,CWE-404,pillar_child
CWE-1351,CWE-1384,pillar_child
CWE-1357,CWE-1357,pillar_child
CWE-1390,CWE-287,pillar_child
CWE-1391,CWE-287,pillar_child
CWE-1392,CWE-287,pillar_child
CWE-1394,CWE-287,pillar_child
CWE-1395,CWE-1357,pillar_child
CWE-1420,CWE-669,pillar_child
CWE-1421,CWE-669,pillar_child
CWE-1422,CWE-669,pillar_child
CWE-1423,CWE-669,pillar_child
